Unnamed: 0,player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
42,Paxton Lynch,10660,QB,MEMPHIS,12,79.2,389,406,7.9,2.53,3,15,3.6,69.2,281,1,129,8.8,438,27,179,218,77.0,89.8,86.7,72.7,1,3,451,2,10.9,117.5,3.2,14,18,0,13,28,10,2.2,3682,9.1
43,Mason Rudolph,46569,QB,OKLA STATE,12,71.3,383,397,11.8,2.47,3,38,9.2,62.0,246,0,117,9.9,443,27,164,262,60.6,91.3,91.9,44.5,2,9,458,3,22.2,99.6,5.9,26,20,0,9,21,17,3.7,3593,9.1
44,Cody Kessler,10727,QB,USC,12,78.9,350,377,8.0,2.81,4,14,3.5,68.4,258,0,153,6.5,420,18,143,326,70.5,85.2,82.4,66.2,5,6,445,1,20.3,110.9,7.4,31,12,0,18,27,5,1.1,3129,8.3
45,Deshaun Watson,11767,QB,CLEMSON,12,78.9,356,374,8.2,2.25,8,28,7.1,70.1,262,0,97,6.8,423,19,167,140,81.3,85.5,84.5,68.9,2,10,446,2,11.3,109.4,2.6,11,38,2,6,27,13,2.9,3231,8.6
46,Jacoby Brissett,10725,QB,NC STATE,12,72.0,339,369,8.8,2.93,5,17,4.5,61.0,225,0,143,7.8,431,19,129,248,52.8,70.7,69.6,62.8,3,4,443,1,22.4,93.1,7.4,32,29,2,20,19,13,2.9,2443,6.6
47,Nate Sudfeld,10821,QB,INDIANA,11,72.2,342,362,10.0,2.64,4,23,6.1,60.5,219,0,91,11.3,385,28,148,190,45.4,81.1,83.4,45.9,4,5,399,1,13.2,105.5,3.1,12,11,0,12,24,17,4.3,3183,8.8
48,Brad Kaaya,11970,QB,MIAMI FL,11,70.5,336,360,9.9,2.5,6,18,4.8,61.4,221,0,125,6.8,375,16,133,220,38.2,80.1,81.1,43.1,5,4,393,2,9.6,97.5,3.2,12,3,1,12,15,16,4.1,3023,8.4
49,Jake Rudock,10825,QB,MICHIGAN,12,76.2,328,359,8.2,2.78,10,10,2.7,64.1,230,0,152,8.0,407,20,145,222,58.0,68.2,67.5,58.4,8,9,429,1,12.5,93.5,4.7,19,29,0,13,18,16,3.7,2739,7.6
50,Baker Mayfield,46518,QB,OKLAHOMA,12,78.4,342,356,8.8,2.92,2,25,6.7,68.3,243,0,145,9.3,437,25,175,261,59.0,92.3,92.4,67.9,0,5,455,1,24.1,125.5,8.0,35,46,1,11,35,8,1.8,3388,9.5
51,Christian Hackenberg,10685,QB,PENN STATE,12,63.8,329,348,9.3,2.55,8,12,3.3,52.9,184,0,163,12.4,405,26,99,266,52.0,60.1,59.4,56.0,2,5,426,3,22.7,84.0,9.1,37,20,0,9,16,12,2.8,2384,6.9
52,Brandon Allen,10835,QB,ARKANSAS,12,73.6,318,344,9.6,2.97,5,23,6.5,65.1,224,0,126,4.3,377,10,161,111,52.0,88.0,90.0,54.7,5,7,387,5,10.3,113.7,3.4,13,20,0,16,29,15,3.9,3112,9.0
53,Connor Cook,10734,QB,MICH STATE,11,68.4,320,339,11.7,2.65,7,31,8.7,57.2,194,0,113,11.4,358,25,140,223,68.3,88.7,89.7,55.9,4,4,377,2,9.7,102.0,3.1,11,8,0,8,24,13,3.4,2729,8.1
54,Joshua Dobbs,11890,QB,TENNESSEE,12,70.8,295,323,7.7,2.74,8,11,3.3,59.8,193,0,117,7.7,370,16,125,307,43.2,72.5,64.5,73.4,4,5,382,2,16.2,88.6,5.1,19,28,1,15,15,18,4.7,2146,6.6
55,C.J. Beathard,11859,QB,IOWA,12,69.7,277,305,9.0,2.79,8,12,3.7,60.3,184,0,143,4.7,359,9,125,192,54.4,80.2,75.8,72.7,8,3,384,4,13.3,95.8,5.3,19,35,1,11,14,9,2.3,2358,7.7
56,DeShone Kizer,11807,QB,NOTRE DAME,12,72.3,285,299,9.7,2.64,3,17,5.3,62.5,187,0,86,9.2,347,19,126,258,58.6,80.1,79.9,65.9,0,9,371,4,25.6,97.8,6.3,22,26,2,9,18,17,4.6,2588,8.7
57,Nathan Peterman,11926,QB,PITTSBURGH,12,73.2,272,297,9.5,2.86,2,24,7.8,61.6,183,0,124,8.0,350,16,128,268,49.8,76.7,75.7,65.4,8,5,361,3,18.5,98.1,6.6,23,30,1,14,19,21,5.8,2163,7.3
58,Tanner Lee,38321,QB,TULANE,9,64.5,256,276,10.2,2.53,4,9,3.2,51.8,143,0,103,13.3,296,22,82,319,25.5,56.8,58.5,26.4,5,7,304,1,19.4,72.4,6.8,20,0,0,11,11,21,6.9,1621,5.9
59,Clayton Thorson,46501,QB,NWESTERN,12,66.3,246,275,8.3,2.83,7,9,3.2,51.6,142,0,94,12.9,311,21,92,256,32.5,56.4,53.4,61.8,4,7,318,1,18.1,65.2,5.5,17,19,0,18,7,22,6.9,1466,5.3
60,Kevin Hogan,10796,QB,STANFORD,12,76.9,264,273,9.8,2.83,1,17,5.9,67.8,185,0,103,8.9,310,18,126,300,43.3,80.2,79.8,64.9,3,7,330,2,16.5,112.3,5.5,17,20,2,3,22,14,4.3,2462,9.0
61,Drew Lock,39517,QB,MISSOURI,12,56.9,253,265,10.2,2.76,2,12,4.3,48.7,129,0,117,10.4,306,15,63,229,45.0,43.7,41.7,56.0,1,8,318,2,19.7,56.0,7.5,23,18,0,9,4,19,6.0,1331,5.0
62,Lamar Jackson,46416,QB,LOUISVILLE,10,64.3,213,223,12.8,3.07,3,7,3.1,55.2,123,0,122,10.2,284,14,91,210,42.3,69.1,61.9,70.9,1,8,290,0,18.9,78.2,8.1,23,38,0,6,10,16,5.5,1612,7.2
63,Cardale Jones,10773,QB,OHIO STATE,10,72.7,161,176,10.0,2.8,3,6,3.3,61.9,109,0,72,6.8,202,8,71,260,29.0,57.8,56.5,60.9,2,5,211,2,19.4,91.3,6.9,14,12,0,10,8,13,6.2,1449,8.2
64,Will Grier,38265,QB,FLORIDA,6,73.1,156,160,7.6,2.58,0,9,5.4,66.3,106,0,64,7.0,194,8,70,163,29.3,67.3,62.7,73.5,0,3,202,1,23.4,101.7,7.7,15,19,0,4,10,10,5.0,1205,7.5
65,Kyler Murray,38334,QB,TEXAS A&M,7,65.3,118,122,10.1,2.99,0,3,2.4,59.0,72,0,35,6.5,142,5,49,312,41.9,65.8,56.2,74.4,0,7,147,0,22.9,64.7,5.6,8,12,0,4,5,8,5.4,694,5.7
66,Jarrett Stidham,13725,QB,BAYLOR,10,81.0,100,109,11.9,2.57,4,14,12.3,68.8,75,0,32,7.4,133,6,52,118,52.6,89.3,91.5,56.5,2,2,139,1,28.1,136.9,6.8,9,15,0,3,12,2,1.4,1266,11.6
67,Keenan Reynolds,10816,QB,NAVY,12,63.7,91,102,14.9,2.68,3,10,9.3,51.0,52,1,44,10.3,119,6,34,237,73.9,76.1,72.6,69.5,0,1,124,5,29.5,107.4,10.9,13,4,3,5,7,3,2.4,1077,10.6
68,Jake Luton,17287,QB,IDAHO,5,67.5,77,79,8.3,2.5,0,1,1.2,62.0,49,0,26,5.8,89,3,18,185,75.4,53.3,48.7,64.0,0,4,94,0,19.2,57.3,5.6,5,5,0,2,1,4,4.3,387,4.9
69,Ryan Finley,46426,QB,BOISE ST,3,74.6,67,71,8.6,2.8,1,3,4.2,64.8,46,0,30,8.0,87,4,26,120,73.4,64.7,64.5,59.3,0,4,89,0,20.0,65.8,6.9,6,10,0,3,1,5,5.7,485,6.8
70,Davis Webb,11842,QB,TEXAS TECH,5,62.5,40,41,8.9,2.19,0,1,2.3,53.7,22,0,7,12.0,41,3,14,315,70.1,63.7,62.4,62.2,0,0,43,0,0.0,93.5,0.0,0,0,0,1,2,0,0.0,300,7.3
71,Trace McSorley,32819,QB,PENN STATE,4,63.6,11,13,5.5,2.79,0,0,0.0,46.2,6,0,2,14.3,13,1,3,266,70.5,50.9,46.9,63.0,0,0,13,1,0.0,54.3,0.0,0,0,0,2,0,0,0.0,43,3.3
72,Josh Allen,46601,QB,WYOMING,2,80.0,5,6,7.6,2.86,1,0,0.0,66.7,4,0,1,0.0,8,0,5,351,66.3,65.5,59.9,65.9,0,0,9,0,0.0,87.5,0.0,0,2,0,0,0,0,0.0,43,7.2
73,Davis Webb,11842,QB,CAL,12,69.8,592,620,8.9,2.32,5,34,5.1,61.6,382,0,136,7.5,642,31,203,130,67.0,70.3,70.8,43.0,6,12,687,5,11.8,94.1,2.5,16,4,0,17,37,28,4.1,4291,6.9
74,Patrick Mahomes,11765,QB,TEXAS TECH,12,75.5,555,595,9.3,2.77,3,42,6.6,65.4,389,0,245,7.2,669,30,251,315,75.7,89.7,87.0,70.5,2,10,709,2,10.2,107.9,3.7,25,49,1,34,41,28,3.9,5056,8.5
75,Luke Falk,46586,QB,WASH STATE,12,78.8,562,585,7.4,2.68,3,28,4.5,70.6,413,0,118,6.8,637,30,222,341,71.1,84.8,84.5,53.8,4,10,677,3,22.9,104.8,4.2,27,25,1,15,37,17,2.5,4204,7.2
76,Deshaun Watson,11767,QB,CLEMSON,12,77.6,433,453,9.2,2.28,9,26,5.5,67.5,306,0,117,8.9,491,30,191,140,73.9,87.8,89.4,59.5,5,14,520,0,10.3,103.8,2.4,12,26,0,6,34,16,3.1,3617,8.0
77,Clayton Thorson,46501,QB,NWESTERN,12,69.8,401,443,9.0,2.74,7,19,4.1,58.2,258,0,191,7.9,492,22,148,256,54.0,67.6,69.0,49.7,5,8,515,0,17.8,86.8,6.9,34,15,1,29,21,20,3.9,2965,6.7
78,Drew Lock,39517,QB,MISSOURI,12,64.3,415,436,12.0,2.27,7,31,6.7,54.6,238,0,78,10.9,462,29,134,229,34.7,67.8,71.0,38.1,3,10,487,1,15.4,87.8,2.6,12,13,0,11,23,23,4.7,3374,7.7
79,Daniel Jones,39395,QB,DUKE,12,72.6,402,429,7.7,2.42,9,13,2.9,62.7,269,0,157,7.9,488,23,154,154,54.9,65.7,66.5,57.8,6,9,509,4,19.1,85.6,6.1,30,26,0,12,16,16,3.1,2839,6.6
80,Mason Rudolph,46569,QB,OKLA STATE,12,71.5,393,417,10.8,2.56,1,29,6.7,62.8,262,0,134,6.8,476,19,165,262,57.2,90.7,91.0,55.5,4,4,493,2,22.4,108.1,6.3,30,26,0,19,25,13,2.6,3771,9.0
81,Logan Woodside,46517,QB,TOLEDO,12,76.1,377,392,9.4,2.41,4,25,5.9,69.1,271,0,108,5.6,418,16,166,316,68.7,81.5,83.3,38.4,5,9,447,2,11.1,127.9,2.9,12,11,0,6,43,14,3.1,3881,9.9
82,Brad Kaaya,11970,QB,MIAMI FL,12,70.3,367,388,9.7,2.5,2,20,5.0,61.1,237,0,97,8.1,417,21,142,220,72.8,79.9,79.4,56.1,5,7,432,3,23.7,100.1,5.5,23,5,1,13,23,9,2.1,3250,8.4
83,Lamar Jackson,46416,QB,LOUISVILLE,12,70.9,351,382,11.9,3.09,10,20,5.0,57.3,219,0,171,12.0,467,30,164,210,53.7,87.5,77.8,82.2,2,9,486,2,22.8,103.1,8.4,39,45,0,19,30,14,2.9,3379,8.8
84,Ryan Finley,46426,QB,NC STATE,12,69.7,357,372,8.3,2.32,6,15,3.9,60.2,224,0,84,10.0,400,25,131,248,42.7,73.9,78.6,43.7,2,8,418,2,17.9,88.1,3.8,15,10,0,7,15,14,3.3,2800,7.5
85,DeShone Kizer,11807,QB,NOTRE DAME,12,68.2,343,363,11.1,2.82,3,19,5.0,58.7,213,1,121,9.0,413,21,141,258,60.9,67.7,69.3,57.6,6,9,429,2,19.8,98.2,5.8,24,25,1,10,26,19,4.4,2934,8.1
86,Mike White,46453,QB,W KENTUCKY,12,77.8,342,355,10.3,2.39,7,30,8.1,67.3,239,0,82,10.2,376,27,153,346,55.8,92.1,91.9,49.9,3,5,391,0,15.9,123.7,3.5,13,6,0,3,31,13,3.3,3605,10.2
87,Jacob Eason,46444,QB,GEORGIA,12,68.5,321,352,9.9,2.53,8,20,5.4,54.5,192,0,103,12.7,378,28,114,173,62.5,66.4,64.4,59.9,5,8,399,3,16.5,78.1,4.5,17,8,1,17,14,12,3.0,2266,6.4
88,Baker Mayfield,46518,QB,OKLAHOMA,12,79.5,322,332,10.4,3.01,1,18,5.2,70.8,235,0,99,8.2,375,21,161,261,47.5,93.4,94.2,55.7,1,8,393,2,16.2,135.2,4.3,16,24,1,7,38,10,2.6,3663,11.0
89,Trace McSorley,32819,QB,PENN STATE,12,67.5,305,331,12.7,2.85,1,22,6.3,55.6,184,0,156,10.7,395,22,127,266,47.3,73.6,78.5,53.4,2,5,413,3,13.5,100.7,5.3,21,42,1,22,21,11,2.7,2977,9.0
90,Chad Kelly,12008,QB,OLE MISS,9,71.5,312,328,10.7,2.42,8,16,4.6,62.5,205,0,117,8.1,379,18,147,226,41.7,80.9,81.4,61.0,4,8,404,1,15.4,98.3,4.7,18,31,0,4,19,18,4.5,2758,8.4
91,James Morgan,25694,QB,BOWL GREEN,11,65.0,306,325,10.9,2.63,10,15,4.3,56.0,182,0,94,8.5,356,17,108,122,49.7,57.2,56.1,56.5,3,15,382,1,18.1,72.7,4.8,17,13,0,6,16,23,6.0,2088,6.4
92,Joshua Dobbs,11890,QB,TENNESSEE,12,72.1,308,322,8.5,2.78,4,12,3.6,62.7,202,0,138,9.0,376,20,135,307,47.2,75.8,66.9,77.4,2,12,387,1,18.1,100.1,6.6,25,25,2,6,26,17,4.4,2652,8.2
93,Jalen Hurts,40291,QB,ALABAMA,12,77.2,289,317,8.3,2.88,4,14,4.2,65.9,209,0,106,6.3,379,14,120,103,44.6,74.9,71.9,67.6,2,9,392,0,16.0,99.4,4.5,17,44,0,22,21,11,2.8,2443,7.7
94,Sam Darnold,29048,QB,USC,12,77.0,296,316,9.2,2.65,5,15,4.5,67.4,213,0,84,6.6,354,15,140,326,36.3,80.7,83.2,55.0,3,8,371,2,7.1,109.8,1.7,6,28,2,10,26,14,3.8,2633,8.3
95,Josh Allen,46601,QB,WYOMING,12,67.8,283,314,13.4,2.87,8,36,10.7,56.7,178,0,132,7.3,381,14,145,351,53.5,83.5,84.2,61.9,3,11,406,2,17.4,95.6,6.0,23,43,4,16,23,14,3.4,2747,8.7
96,Nathan Peterman,11926,QB,PITTSBURGH,12,71.6,271,292,9.5,2.75,5,23,7.3,58.9,172,0,87,11.3,341,22,125,268,31.9,73.0,75.7,54.1,2,6,365,3,11.5,109.4,2.9,10,35,3,11,26,17,4.7,2602,8.9
97,Alex McGough,46420,QB,FIU,9,69.6,263,286,8.9,2.38,8,13,4.3,58.4,167,0,75,8.7,314,16,93,166,38.5,64.0,66.5,49.6,3,11,331,2,16.0,77.4,3.8,12,16,0,12,13,15,4.5,1891,6.6
98,C.J. Beathard,11859,QB,IOWA,12,75.6,246,281,7.2,2.76,6,13,4.5,58.0,163,0,127,12.4,330,23,96,192,72.8,69.1,68.8,59.8,6,7,336,5,22.0,87.9,8.5,28,21,0,23,17,9,2.7,1869,6.7
99,Justin Herbert,28237,QB,OREGON,8,73.8,244,255,9.8,2.71,6,15,5.6,63.5,162,0,93,10.0,292,18,91,264,62.1,77.2,77.0,60.4,2,4,304,0,19.4,105.0,6.2,18,19,0,3,19,10,3.3,1936,7.6
100,Danny Etling,23519,QB,LSU,10,69.2,224,241,11.8,2.84,3,8,3.2,59.8,144,0,95,7.1,273,11,88,211,52.4,68.6,70.0,48.0,2,4,281,2,15.8,90.4,5.5,15,15,0,12,9,7,2.5,1906,7.9
101,Josh Rosen,35460,QB,UCLA,6,71.6,215,232,9.6,2.78,2,12,4.9,59.1,137,0,96,11.0,251,17,86,324,38.2,78.5,76.4,65.2,5,5,262,0,14.6,91.1,5.6,14,5,1,9,10,13,5.0,1916,8.3
102,Joe Burrow,28022,QB,OHIO STATE,4,82.1,28,28,4.7,2.05,0,1,3.6,78.6,22,0,4,4.3,30,1,10,260,73.0,73.7,67.8,69.6,0,0,30,0,25.0,124.1,3.3,1,1,0,0,2,2,6.7,226,8.1
