Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
7,219,NYG,Thomas Fidone,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,Nebraska,,FidoTh00
7,220,NWE,Marcus Bryant,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Missouri,College Stats,BryaMa02
7,221,JAX,Jonah Monheim,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,USC,College Stats,MonhJo00
7,222,LVR,Cody Lindenberg,LB,,,0,0,0,,,,,,,,,,,,,,,,,,Minnesota,College Stats,LindCo00
7,223,SEA,Damien Martinez,RB,21,,0,0,0,,,,,,,,,,,,,,,,,,Miami (FL),College Stats,MartDa02
7,224,HOU,Kyonte Hamilton,DL,,,0,0,0,,,,,,,,,,,,,,,,,,Rutgers,College Stats,HamiKy01
7,225,ARI,Kitan Crawford,SAF,23,,0,0,0,,,,,,,,,,,,,,,,,,Nevada,College Stats,CrawKi00
7,226,PIT,Carson Bruener,LB,24,,0,0,0,,,,,,,,,,,,,,,,,,Washington,College Stats,BrueCa00
7,227,SFO,Kurtis Rourke,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Indiana,College Stats,RourKu01
7,228,KAN,Brashard Smith,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,SMU,College Stats,SmitBr09
7,229,PIT,Donte Kent,CB,,,0,0,0,,,,,,,,,,,,,,,,,,Central Michigan,College Stats,KentDo00
7,230,DET,Dan Jackson,SAF,24,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,JackDa04
7,231,MIA,Quinn Ewers,QB,22,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,EwerQu00
7,232,IND,Hunter Wohler,SAF,22,,0,0,0,,,,,,,,,,,,,,,,,,Wisconsin,College Stats,WohlHu00
7,233,CHI,Kyle Monangai,RB,23,,0,0,0,,,,,,,,,,,,,,,,,,Rutgers,College Stats,MonaKy00
7,234,SEA,Mason Richman,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Iowa,College Stats,RichMa01
7,235,TAM,Tez Johnson,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Oregon,College Stats,JohnTe03
7,236,JAX,LeQuint Allen,RB,,,0,0,0,,,,,,,,,,,,,,,,,,Syracuse,College Stats,AlleLe01
7,237,GNB,Micah Robinson,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Tulane,College Stats,RobiMi01
7,238,SEA,Ricky White,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,UNLV,College Stats,WhitRi01
7,239,DAL,Phil Mafah,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,College Stats,MafaPh00
7,240,BUF,Kaden Prather,WR,,,0,0,0,,,,,,,,,,,,,,,,,,Maryland,College Stats,PratKa00
7,241,DEN,Caleb Lohner,TE,,,0,0,0,,,,,,,,,,,,,,,,,,Utah,College Stats,LohnCa00
7,242,LAR,Konata Mumpfield,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Pittsburgh,College Stats,MumpKo00
7,243,BAL,Garrett Dellinger,OG,,,0,0,0,,,,,,,,,,,,,,,,,,LSU,College Stats,DellGa00
7,244,DET,Dominic Lovett,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,LoveDo00
7,245,WAS,Jacory Croskey-Merritt,RB,24,,0,0,0,,,,,,,,,,,,,,,,,,Arizona,College Stats,CrosJa00
7,246,NYG,Korie Black,CB,,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma St.,College Stats,BlacKo00
7,247,DAL,Tommy Akingbesote,DT,,,0,0,0,,,,,,,,,,,,,,,,,,Maryland,College Stats,AkinTo00
7,248,NOR,Moliki Matavao,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,UCLA,College Stats,MataMo00
7,249,SFO,Connor Colby,OL,,,0,0,0,,,,,,,,,,,,,,,,,,Iowa,College Stats,ColbCo00
7,250,GNB,John Williams,OL,,,0,0,0,,,,,,,,,,,,,,,,,,Cincinnati,College Stats,WillJo11
7,251,NWE,Julian Ashby,LS,23,,0,0,0,,,,,,,,,,,,,,,,,,Vanderbilt,College Stats,AshbJu00
7,252,SFO,Junior Bergen,WR,,,0,0,0,,,,,,,,,,,,,,,,,,Montana,,BergJu00
7,253,MIA,Zeek Biggers,DL,21,,0,0,0,,,,,,,,,,,,,,,,,,Georgia Tech,College Stats,BiggZe01
7,254,NOR,Fadil Diggs,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Syracuse,College Stats,DiggFa00
7,255,HOU,Luke Lachey,TE,24,,0,0,0,,,,,,,,,,,,,,,,,,Iowa,College Stats,LachLu00
7,256,LAC,Trikweze Bridges,SAF,,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats,BridTr00
7,257,NWE,Kobee Minor,DB,,,0,0,0,,,,,,,,,,,,,,,,,,Memphis,College Stats,MinoKo00
