player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Savion Williams,123101,WR,TCU,12,6.6,18,72.3,88.9,8,9,0,11.8,8,28,305,0,57.0,68.4,78.9,,70.2,0.0,0,1,75,0.0,0,306,0,60,95.1,291,22.9,70,112.1,83,6,70.9,217,611,411,6.9,10.2,2.1
Colston Loveland,158540,TE,MICHIGAN,10,7.1,3,68.3,20.0,2,10,0,3.4,2,31,222,1,84.3,44.0,85.9,30.9,90.6,32.5,75,6,36,2.6,6,231,1,56,94.4,218,47.6,110,78.4,82,5,18.6,43,582,290,5.2,10.4,2.67
Jalen Royals,163442,WR,UTAH ST,7,9.4,17,67.9,53.3,8,15,0,5.2,3,34,329,0,79.0,75.9,79.6,,80.6,0.0,0,5,75,0.0,0,290,0,55,96.6,280,22.1,64,100.8,81,6,77.9,226,839,436,7.9,15.3,3.0
Mason Taylor,157122,TE,LSU,12,8.6,5,69.6,50.0,8,16,0,1.8,1,37,211,0,90.1,74.5,67.8,63.9,69.5,45.1,251,1,33,16.7,93,556,4,55,79.7,443,44.6,248,92.1,79,2,9.0,50,546,252,4.6,9.9,1.23
KeAndre Lambert-Smith,129789,WR,AUBURN,12,13.8,8,63.3,50.0,7,14,0,5.7,3,37,115,0,76.8,74.4,78.6,,80.4,0.3,1,5,67,0.0,0,378,1,50,96.0,363,14.3,54,114.0,79,8,85.4,323,981,369,7.4,19.6,2.7
Pat Bryant,144800,WR,ILLINOIS,12,14.4,14,69.2,69.2,9,13,0,1.8,1,42,187,0,88.7,75.5,84.5,62.6,86.0,1.6,6,2,64,0.3,1,379,3,54,91.8,348,21.4,81,140.8,78,10,76.8,291,984,373,6.9,18.2,2.83
Tre Harris,122676,WR,OLE MISS,8,12.0,11,78.9,61.5,8,13,0,7.7,5,37,226,2,70.9,28.6,89.7,,89.4,0.5,1,0,70,0.0,0,214,3,60,93.9,201,13.6,29,149.5,76,7,86.0,184,1030,462,7.7,17.2,5.12
Gunnar Helm,144726,TE,TEXAS,16,7.1,12,82.2,50.0,3,6,0,3.2,2,35,311,1,79.7,51.0,62.3,66.9,72.4,68.3,416,1,49,16.1,98,609,7,60,80.3,489,22.0,134,137.8,73,7,9.7,59,786,420,7.0,13.1,1.61
Arian Smith,124039,WR,GEORGIA,14,12.5,5,66.7,22.2,2,9,0,17.2,10,29,173,1,38.7,48.4,57.7,54.1,57.1,0.0,0,3,67,0.0,0,441,5,48,93.0,410,20.4,90,105.2,72,4,79.4,350,801,378,7.9,16.7,1.95
Jordan Watkins,122730,WR,OLE MISS,12,15.8,8,72.1,55.6,5,9,0,3.9,2,30,226,0,82.1,77.3,74.3,,77.6,1.6,6,0,75,0.0,0,376,1,49,94.7,356,29.3,110,153.8,68,9,68.4,257,906,333,6.8,18.5,2.54
Chimere Dike,129918,WR,FLORIDA,13,14.9,3,64.6,58.3,7,12,0,8.7,4,29,163,1,66.0,74.1,72.9,,71.3,0.6,2,3,44,0.0,0,356,0,42,95.8,341,59.3,211,97.1,65,2,39.9,142,783,252,6.0,18.6,2.3
Terrance Ferguson,146563,TE,OREGON,12,7.8,8,66.2,25.0,3,12,0,8.5,4,31,264,0,68.1,73.4,73.9,57.1,77.0,40.5,137,0,62,8.6,29,338,3,43,86.7,293,42.0,142,110.5,65,3,15.7,53,591,387,9.0,13.7,2.02
Moliki Matavao,146561,TE,UCLA,11,7.8,6,68.3,37.5,3,8,0,2.4,1,23,324,1,84.9,40.2,65.3,54.6,66.4,32.3,111,3,35,6.7,23,344,2,41,89.2,307,37.2,128,84.4,60,2,30.5,105,506,285,7.0,12.3,1.65
Mitchell Evans,147486,TE,NOTRE DAME,16,6.7,9,72.9,72.7,8,11,0,6.5,3,21,258,1,72.8,42.2,65.3,63.5,65.9,28.2,97,1,33,7.6,26,344,3,43,87.2,300,57.8,199,102.2,59,3,12.2,42,418,188,4.4,9.7,1.39
Jaylin Lane,121811,WR,VA TECH,12,7.5,13,65.5,16.7,1,6,0,7.3,3,21,337,1,70.5,58.7,71.1,,69.3,0.7,2,1,66,0.0,0,291,0,38,93.8,273,84.5,246,94.5,58,2,13.7,40,466,316,8.3,12.3,1.71
Gavin Bartholomew,144013,TE,PITTSBURGH,13,4.8,5,74.5,100.0,2,2,1,7.3,3,20,268,0,71.5,73.3,57.2,30.4,62.1,49.9,223,0,21,3.4,15,447,5,38,90.6,405,23.3,104,116.6,51,4,25.7,115,322,169,4.4,8.5,0.8
Elijah Arroyo,143933,TE,MIAMI FL,13,11.1,3,74.5,20.0,1,5,0,2.8,1,25,220,0,83.8,72.7,71.6,70.0,73.6,39.3,165,3,74,9.8,41,420,3,35,83.3,350,51.4,216,129.2,47,7,5.5,23,590,313,8.9,16.9,1.69
Luke Lachey,129475,TE,IOWA,12,6.3,7,71.8,50.0,5,10,0,3.4,1,12,192,0,79.5,71.5,58.8,50.1,65.7,63.8,150,2,28,8.9,21,235,2,28,88.1,207,29.4,69,65.2,39,0,6.8,16,231,99,3.5,8.3,1.12
Tory Horton,128232,WR,COLO STATE,5,13.5,7,65.8,50.0,3,6,1,3.8,1,14,144,1,78.4,76.8,82.3,,81.4,0.0,0,1,52,0.0,0,102,1,25,94.1,96,35.3,36,91.0,38,1,64.7,66,331,97,3.9,13.2,3.45
Isaac TeSlaa,172430,WR,ARKANSAS,13,14.3,4,77.8,71.4,5,7,1,0.0,0,20,111,1,88.6,29.7,69.1,,70.5,0.4,1,0,75,0.0,0,281,3,28,95.7,269,79.0,222,146.5,36,3,20.6,58,532,167,6.0,19.0,1.98
Jackson Hawes,109374,TE,GA TECH,11,4.3,3,80.0,0.0,0,2,0,11.1,2,7,176,0,58.6,69.8,67.8,74.9,59.4,63.3,167,0,33,23.5,62,264,5,16,73.1,193,30.7,81,107.3,20,0,3.4,9,195,131,8.2,12.2,1.01
Robbie Ouzts,146594,TE,ALABAMA,12,9.9,1,80.0,,0,0,0,0.0,0,4,103,0,79.3,67.1,60.4,68.7,62.3,68.4,67,1,44,20.4,20,98,0,8,75.5,74,21.4,21,111.7,10,2,7.1,7,108,46,5.8,13.5,1.46
Caleb Lohner,188299,TE,UTAH,9,15.9,0,44.4,60.0,3,5,0,20.0,1,4,328,0,49.8,65.7,72.3,,70.5,34.9,15,1,20,0.0,0,43,0,4,93.0,40,46.5,20,64.1,9,4,18.6,8,54,1,0.3,13.5,1.35
Ty Robinson,146317,WR,BALL ST,3,14.8,0,62.5,50.0,2,4,0,0.0,0,4,117,0,76.3,65.7,62.9,,64.2,0.0,0,0,21,0.0,0,45,0,5,88.9,40,33.3,15,129.7,8,1,66.7,30,69,9,1.8,13.8,1.73
